J	F	M	A	M	J	J	A	S	O	N	D
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
137.0	118.5	82.5	100.7	91.6	55.1	37.0	44.7	71.4	124.2	136.2	162.8
