J	F	M	A	M	J	J	A	S	O	N	D
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
6.2	7.3	9.4	11.4	14.7	18.6	21.7	21.8	18.9	14.3	9.6	6.9
