J	F	M	A	M	J	J	A	S	O	N	D
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
3.5	4.5	5.7	7.3	10.3	13.6	16.0	16.2	14.1	10.7	6.9	5.0
