J	F	M	A	M	J	J	A	S	O	N	D
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
55.5	52.5	39	70.5	78	37.5	22.5	15	42	73.5	84	84
