J	F	M	A	M	J	J	A	S	O	N	D
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
3	4	5.5	6	8	10.5	12.5	12.5	10.5	7.5	5	3.5
